id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
1,performance de rede lenta,experimentei uma desaceleracao na velocidade da internet ao redor das horas do almoco a conexao e suficiente para navegar mas nao o bastante para streaming,performance de rede lenta experimentei uma desaceleracao na velocidade da internet ao redor das horas do almoco a conexao e suficiente para navegar mas nao o bastante para streaming,Rede,Baixa
2,acesso ao banco de dados bloqueado,funcionario relata problemas na tentativa de conectar se aos bancos de dados do sistema nao consegue acessa los com os credenciais atuais,acesso ao banco de dados bloqueado funcionario relata problemas na tentativa de conectar se aos bancos de dados do sistema nao consegue acessa los com os credenciais atuais,Acesso,Baixa
3,problemas de conexao,o usuario relata que nao consegue estabelecer uma conexao segura ao tentar se autenticar no sistema apesar de verificacao basica correr bem,problemas de conexao o usuario relata que nao consegue estabelecer uma conexao segura ao tentar se autenticar no sistema apesar de verificacao basica correr bem,Acesso,Media
4,limite de conexoes ip,devido ao aumento no numero de usuarios o limite de ip esta atingindo seu valor maximo regularmente alguns clientes estao tentando adicionar mais contas para trabalhar em paralelo,limite de conexoes ip devido ao aumento no numero de usuarios o limite de ip esta atingindo seu valor maximo regularmente alguns clientes estao tentando adicionar mais contas para trabalhar em paralelo,Infraestrutura,Baixa
5,suporte de rede,o usuario relata que tem problemas intermitentes na conexao a rede corporativa o problema afeta o acesso aos servicos on line e atrasa as tarefas da equipe,suporte de rede o usuario relata que tem problemas intermitentes na conexao a rede corporativa o problema afeta o acesso aos servicos on line e atrasa as tarefas da equipe,Acesso,Baixa
6,por favor ajude,eu quero saber como posso mudar o tema do meu computador,por favor ajude eu quero saber como posso mudar o tema do meu computador,Comunicação,Baixa
7,conexao wi fi instavel,funcionario relata que o servico de internet banda larga apresentou uma congestao intermitente afetando a capacidade de trabalhar efetivamente,conexao wi fi instavel funcionario relata que o servico de internet banda larga apresentou uma congestao intermitente afetando a capacidade de trabalhar efetivamente,Acesso,Media
8,problemas no login da biblioteca,uma das pessoas do setor de informatica na biblioteca central esta experimentando problemas ao tentar acessar o sistema para gerenciamento dos registros o problema comecou ha algumas horas e apesar de terem seguido os passos padrao de recuperacao da senha via email eles ainda nao conseguiram lograr isso,problemas no login da biblioteca uma das pessoas do setor de informatica na biblioteca central esta experimentando problemas ao tentar acessar o sistema para gerenciamento dos registros o problema comecou ha algumas horas e apesar de terem seguido os passos padrao de recuperacao da senha via email eles ainda nao conseguiram lograr isso,Acesso,Baixa
9,requerido suporte para configuracao vpn,funcionario precisa de ajuda para configurar o software pvn devido a duvidas sobre os passos e parametros necessarios,requerido suporte para configuracao vpn funcionario precisa de ajuda para configurar o software pvn devido a duvidas sobre os passos e parametros necessarios,Acesso,Baixa
10,dificuldade de conexao a internet,o usuario relata problemas intermitentes ao se conectar via wi fi o atendente ja verifica o status do roteador e acessibilidade das configuracoes mas ainda nao consegue identificar o problema,dificuldade de conexao a internet o usuario relata problemas intermitentes ao se conectar via wi fi o atendente ja verifica o status do roteador e acessibilidade das configuracoes mas ainda nao consegue identificar o problema,Acesso,Baixa
11,dispositivo movel nao carrega,meu smartphone esta totalmente esgotado e apesar de conecta lo a uma fonte usb ou coloca lo na porta inteligente nada acontece a bateria parece estar desgastada,dispositivo movel nao carrega meu smartphone esta totalmente esgotado e apesar de conecta lo a uma fonte usb ou coloca lo na porta inteligente nada acontece a bateria parece estar desgastada,Hardware,Baixa
12,acesso limitado a rede interna,um grupo de funcionarios reportou ter dificuldade na conexao com a internet do escritorio o que esta afetando suas atividades diarias,acesso limitado a rede interna um grupo de funcionarios reportou ter dificuldade na conexao com a internet do escritorio o que esta afetando suas atividades diarias,Infraestrutura,Baixa
13,som barulhento do computador,recentemente o som emitido pelo meu laptop parece estar mais alto e distorcido nao foi ajustado manualmente por nenhum usuario,som barulhento do computador recentemente o som emitido pelo meu laptop parece estar mais alto e distorcido nao foi ajustado manualmente por nenhum usuario,Hardware,Baixa
14,energia instavel,o sistema de iluminacao led da sala principal esta fracionando intermitentemente e ocorre desligamento repentino,energia instavel o sistema de iluminacao led da sala principal esta fracionando intermitentemente e ocorre desligamento repentino,Infraestrutura,Baixa
15,sincronizacao horario errada,aparenta se que as configuracoes de sincronizacao do relogio no computador nao estao alinhadas com o fuso horario atual,sincronizacao horario errada aparenta se que as configuracoes de sincronizacao do relogio no computador nao estao alinhadas com o fuso horario atual,Comunicação,Baixa
16,lentidao na conexao wi fi,desde o ultimo upgrade da nossa rede os tempos de resposta ao acesso a internet estao aumentando a velocidade e suficiente para pequenas atividades como navegar pela web ou baixar fotos,lentidao na conexao wi fi desde o ultimo upgrade da nossa rede os tempos de resposta ao acesso a internet estao aumentando a velocidade e suficiente para pequenas atividades como navegar pela web ou baixar fotos,Rede,Baixa
17,roteamento de dns,acesso a internet falhou apos atualizar o roteador parece haver problemas no mecanismo de dns,roteamento de dns acesso a internet falhou apos atualizar o roteador parece haver problemas no mecanismo de dns,Rede,Media
18,lente do zoom acoplado incorretamente,tenho usado meu computador ha alguns meses e hoje percebi que a lente de mao para o mouse esta com as pontas viradas na direcao errada isso e inconveniente porque preciso usar o zoom regularmente ao editar fotos,lente do zoom acoplado incorretamente tenho usado meu computador ha alguns meses e hoje percebi que a lente de mao para o mouse esta com as pontas viradas na direcao errada isso e inconveniente porque preciso usar o zoom regularmente ao editar fotos,Hardware,Baixa
19,email sem indice da mensagem,eu recebo e mails mas o indice de mensagens nao aparece quando clico em deixar no spam,email sem indice da mensagem eu recebo e mails mas o indice de mensagens nao aparece quando clico em deixar no spam,Comunicação,Baixa
20,banco de dados lento,desenvolvemos uma consulta critica que nao responde dentro do prazo esperado causando atrasos nas operacoes comerciais ajude a otimizar o desempenho,banco de dados lento desenvolvemos uma consulta critica que nao responde dentro do prazo esperado causando atrasos nas operacoes comerciais ajude a otimizar o desempenho,Banco de Dados,Alta
21,sistema de sms nao funciona,o sistema responsavel pela operacao dos sms esta apresentando falhas causando atrasos na comunicacao entre os clientes e o nosso servico,sistema de sms nao funciona o sistema responsavel pela operacao dos sms esta apresentando falhas causando atrasos na comunicacao entre os clientes e o nosso servico,Rede,Alta
22,e mail nao envia anexos,quando tento enviar um arquivo pdf pelo outlook da erro de tamanho excedido,e mail nao envia anexos quando tento enviar um arquivo pdf pelo outlook da erro de tamanho excedido,Comunicação,Media
23,motorola g7 nao responde,meu motorola g7 esta funcionando mas recentemente parou de reconhecer comandos testei o recurso verificar problemas no menu do software da montagem e ele indica que a bateria e boa,motorola g7 nao responde meu motorola g7 esta funcionando mas recentemente parou de reconhecer comandos testei o recurso verificar problemas no menu do software da montagem e ele indica que a bateria e boa,Hardware,Media
24,problemas na conexao wi fi,estou tendo dificuldades para se conectar a minha rede sem fio acesso ao internet esta intermitente e a velocidade e muito lenta,problemas na conexao wi fi estou tendo dificuldades para se conectar a minha rede sem fio acesso ao internet esta intermitente e a velocidade e muito lenta,Comunicação,Baixa
25,problemas de conexao wi fi,cliente relata que esta experimentando instabilidade na rede wi fi em casa tem baixas frequencias e o servico ja foi atualizado,problemas de conexao wi fi cliente relata que esta experimentando instabilidade na rede wi fi em casa tem baixas frequencias e o servico ja foi atualizado,Acesso,Baixa
26,ruido de audio durante o transito,durante viagens percebo que ha um ruido intermitente no meu computador portatil quando esta conectado ao bluetooth do carro isso causa desconforto e dificuldade em ouvir o audio de aplicativos sem fio,ruido de audio durante o transito durante viagens percebo que ha um ruido intermitente no meu computador portatil quando esta conectado ao bluetooth do carro isso causa desconforto e dificuldade em ouvir o audio de aplicativos sem fio,Rede,Baixa
27,erro no envio do email,consigo enviar mensagens sem problemas mas quando quero adicionar um anexo de pdf para o colega jose silva no e mail da integracao comercial recebo a mensagem ocorreu erro ao tentar carregar este arquivo acontece tambem que nao consigo enviar outros tipos de arquivos,erro no envio do email consigo enviar mensagens sem problemas mas quando quero adicionar um anexo de pdf para o colega jose silva no e mail da integracao comercial recebo a mensagem ocorreu erro ao tentar carregar este arquivo acontece tambem que nao consigo enviar outros tipos de arquivos,Comunicação,Media
28,suspeita de violacao de senha,funcionario informa que encontrou uma mensagem do sistema indicando tentativas multiplas para alterar a senha mas nao reconhece o usuario associado,suspeita de violacao de senha funcionario informa que encontrou uma mensagem do sistema indicando tentativas multiplas para alterar a senha mas nao reconhece o usuario associado,Acesso,Baixa
29,problemas de conexao wi fi,o usuario relata que o seu telefone nao consegue se conectar automaticamente ao acesso sem fio do escritorio ja tentou reiniciar as configuracoes e adicionar novamente mas falha persistente,problemas de conexao wi fi o usuario relata que o seu telefone nao consegue se conectar automaticamente ao acesso sem fio do escritorio ja tentou reiniciar as configuracoes e adicionar novamente mas falha persistente,Acesso,Baixa
30,mapeamento infraestrutural,precisamos atualizar o mapa da rede interna devido a adicao de novos servicos e redes vlan,mapeamento infraestrutural precisamos atualizar o mapa da rede interna devido a adicao de novos servicos e redes vlan,Infraestrutura,Baixa
31,falha no monitor,somente parte da tela mostra o conteudo restante e preenchido por cor azul escura tentativas de conectar a outra tv mostram somente uma pequena area do video,falha no monitor somente parte da tela mostra o conteudo restante e preenchido por cor azul escura tentativas de conectar a outra tv mostram somente uma pequena area do video,Hardware,Media
32,problemas de conexao,diretor da empresa relatou que as redes corporativas estao desconectadas intermitentemente causando atrasos no trabalho dos departamentos afetados,problemas de conexao diretor da empresa relatou que as redes corporativas estao desconectadas intermitentemente causando atrasos no trabalho dos departamentos afetados,Acesso,Media
33,roteador sem conexao wi fi,o roteador perde o sinal constante e nao consegue reconectar apos redefinir acontece aproximadamente duas vezes por dia afetando varias dispositivos,roteador sem conexao wi fi o roteador perde o sinal constante e nao consegue reconectar apos redefinir acontece aproximadamente duas vezes por dia afetando varias dispositivos,Rede,Alta
34,problemas de conexao wi fi,uma das unidades da equipe informa que seu computador nao consegue se conectar a rede sem fio e ja tentou reinicia la mas o problema persiste acredita ser um bug na configuracao do roteador,problemas de conexao wi fi uma das unidades da equipe informa que seu computador nao consegue se conectar a rede sem fio e ja tentou reinicia la mas o problema persiste acredita ser um bug na configuracao do roteador,Acesso,Baixa
35,problema na criacao do pdf,ocorreu erro ao usar o adobe acrobat reader o documento nao responde quando mando para a impressora,problema na criacao do pdf ocorreu erro ao usar o adobe acrobat reader o documento nao responde quando mando para a impressora,Comunicação,Baixa
36,mensagem do linkedin falha,a mensagem que estou tentando enviar pelo linkedin nao esta chegando estou recebendo um erro indicando problema com a conexao isso acontece desde o ultimo software de atualizacao,mensagem do linkedin falha a mensagem que estou tentando enviar pelo linkedin nao esta chegando estou recebendo um erro indicando problema com a conexao isso acontece desde o ultimo software de atualizacao,Comunicação,Alta
37,problemas intermitentes de conexao,a rede wi fi apresenta instabilidade onde o sinal desaparece e volta algumas vez pulls depois,problemas intermitentes de conexao a rede wi fi apresenta instabilidade onde o sinal desaparece e volta algumas vez pulls depois,Rede,Baixa
38,dificuldade na conexao wi fi,tenho tentado se conectar a internet usando o roteador de casa mas nao conseguiria resolver os simbolos da rede sao visiveis no dispositivo movel e na televisao com smart tv,dificuldade na conexao wi fi tenho tentado se conectar a internet usando o roteador de casa mas nao conseguiria resolver os simbolos da rede sao visiveis no dispositivo movel e na televisao com smart tv,Comunicação,Media
39,recuperacao de senha falhou,o usuario informa que tentou fazer o processo automatico de recuperacao da senha mas nao recebeu as instrucoes necessarias para completar a operacao,recuperacao de senha falhou o usuario informa que tentou fazer o processo automatico de recuperacao da senha mas nao recebeu as instrucoes necessarias para completar a operacao,Acesso,Media
40,problemas de login do sistema,o administrador relata que nao consegue fazer logout e esta recebendo alertas incomuns suspeita de possivel seguranca comprometida,problemas de login do sistema o administrador relata que nao consegue fazer logout e esta recebendo alertas incomuns suspeita de possivel seguranca comprometida,Acesso,Alta
41,problemas de navegacao na interface do site,o usuario relata dificuldades ao navegar pelas paginas da empresa afirma que as rotulagens e links nao estao funcionando como esperado causando confusao no acesso aos seus documentos,problemas de navegacao na interface do site o usuario relata dificuldades ao navegar pelas paginas da empresa afirma que as rotulagens e links nao estao funcionando como esperado causando confusao no acesso aos seus documentos,Acesso,Baixa
42,reducao de velocidade na rede,a internet no computador esta desacelerando gradualmente a velocidade ja estava boa mas agora os downloads e uploads sao muito lentos,reducao de velocidade na rede a internet no computador esta desacelerando gradualmente a velocidade ja estava boa mas agora os downloads e uploads sao muito lentos,Rede,Media
43,roteador nao responde,o roteador parece estar desligado ou sem sinal pois o computador do escritorio tem dificuldade de se conectar a internet,roteador nao responde o roteador parece estar desligado ou sem sinal pois o computador do escritorio tem dificuldade de se conectar a internet,Rede,Media
44,rede de internet esta lenta,o consumidor reporta que o seu servico de internet e significativamente mais lento do que esperado os sinais e conexoes parecem normais mas os tempos de acesso a web estao abaixo dos padroes,rede de internet esta lenta o consumidor reporta que o seu servico de internet e significativamente mais lento do que esperado os sinais e conexoes parecem normais mas os tempos de acesso a web estao abaixo dos padroes,Rede,Media
45,solucao de senha incomum,funcionario relata que nao consegue usar senhas padrao devido as politicas corporativas atualizadas necessitando suporte para alternar metodos de autenticacao,solucao de senha incomum funcionario relata que nao consegue usar senhas padrao devido as politicas corporativas atualizadas necessitando suporte para alternar metodos de autenticacao,Acesso,Baixa
46,problemas de conexao no aplicativo do cliente,um usuario relata que o aplicativo movel desenvolvido pela empresa nao esta respondendo ao seu clique e ocasionalmente mostra erros 404 na tela,problemas de conexao no aplicativo do cliente um usuario relata que o aplicativo movel desenvolvido pela empresa nao esta respondendo ao seu clique e ocasionalmente mostra erros 404 na tela,Acesso,Baixa
47,mudanca do led indicador,o monitor de trabalho apresenta mudanca no esquema de cores da luz verde amarela que antes era fixo ajustar a luminosidade nao resolve o problema,mudanca do led indicador o monitor de trabalho apresenta mudanca no esquema de cores da luz verde amarela que antes era fixo ajustar a luminosidade nao resolve o problema,Hardware,Baixa
48,falha no servico de navegacao,o sistema gps da estacao maritima falhou e precisa ser restaurado imediatamente para garantir a navegacao segura dos navios,falha no servico de navegacao o sistema gps da estacao maritima falhou e precisa ser restaurado imediatamente para garantir a navegacao segura dos navios,Infraestrutura,Alta
49,roteador de rede falha intermitente,o roteador wi fi esta apresentando problemas perdendo conexao regularmente durante o dia e precisa ser revisado,roteador de rede falha intermitente o roteador wi fi esta apresentando problemas perdendo conexao regularmente durante o dia e precisa ser revisado,Rede,Media
50,router desligando aleatoriamente,o roteador da casa esta reiniciando por conta propria causando interrupcoes no acesso a internet,router desligando aleatoriamente o roteador da casa esta reiniciando por conta propria causando interrupcoes no acesso a internet,Rede,Media
51,lampada led fica vermelha,a lampada no meu escritorio acende mas permanece em tom de vermelho estou preocupado com a eficiencia energetica neste caso,lampada led fica vermelha a lampada no meu escritorio acende mas permanece em tom de vermelho estou preocupado com a eficiencia energetica neste caso,Hardware,Baixa
52,problemas na impressora,a impressora esta deixando de imprimir alguns documentos mas outros estao sendo impressos normalmente aconteceu depois do ultimo software atualizado,problemas na impressora a impressora esta deixando de imprimir alguns documentos mas outros estao sendo impressos normalmente aconteceu depois do ultimo software atualizado,Hardware,Media
53,wi fi instavel,a conexao wi fi e intermitente afetando principalmente na ultima hora da tarde ocorre de forma semana a fina,wi fi instavel a conexao wi fi e intermitente afetando principalmente na ultima hora da tarde ocorre de forma semana a fina,Rede,Baixa
54,ponto de internet lento,ha uma perda gradual da velocidade do internet ao longo das ultimas semanas especialmente durante o horario pico,ponto de internet lento ha uma perda gradual da velocidade do internet ao longo das ultimas semanas especialmente durante o horario pico,Rede,Baixa
55,intrusao na rede,um funcionario notou uma conexao nao solicitada entre seu computador e um dispositivo externo durante o horario de trabalho o uso desta conexao foi inesperado pois normalmente esta desconectado,intrusao na rede um funcionario notou uma conexao nao solicitada entre seu computador e um dispositivo externo durante o horario de trabalho o uso desta conexao foi inesperado pois normalmente esta desconectado,Acesso,Baixa
56,problemas de conexao wifi,o cliente esta experimentando dificuldades intermitentes na ligacao a internet via roteador sem fio apesar da configuracao parecer correta,problemas de conexao wifi o cliente esta experimentando dificuldades intermitentes na ligacao a internet via roteador sem fio apesar da configuracao parecer correta,Acesso,Baixa
57,computador atrasa inicializacao,o computador demora mais de cinco minutos antes de iniciar o sistema operacional o monitor mostra uma luz verde mas nao apresenta nenhum sinal,computador atrasa inicializacao o computador demora mais de cinco minutos antes de iniciar o sistema operacional o monitor mostra uma luz verde mas nao apresenta nenhum sinal,Hardware,Media
58,dificuldade de conectar via wi fi,acontece que nao consigo fazer o meu dispositivo se conectar a rede wi fi em casa acessou a lista de redes mas ela fica fixa e estaria anonima no momento da selecao,dificuldade de conectar via wi fi acontece que nao consigo fazer o meu dispositivo se conectar a rede wi fi em casa acessou a lista de redes mas ela fica fixa e estaria anonima no momento da selecao,Rede,Baixa
59,computador sem energia,a maquina nao responde quando o botao power e pressionado o problema pode estar na tomada mas precisamos descobrir se ha algum outro problema de hardware,computador sem energia a maquina nao responde quando o botao power e pressionado o problema pode estar na tomada mas precisamos descobrir se ha algum outro problema de hardware,Hardware,Media
