id,text_final,target_category,prioridade
1,performance de rede lenta experimentar uma desaceleracao na velocidade da internet ao redor das horas do almoco a conexao e suficiente para navegar mas nao o bastante para streaming,Rede,Baixa
2,acesso ao banco de dados bloqueado funcionario relatar problemas na tentativa de conectar se aos bancos de dados do sistema nao conseguir acessa los com os credenciais atuais,Acesso,Baixa
3,problemas de conexao o usuario relatar que nao conseguir estabelecer uma conexao segura ao tentar se autenticar no sistema apesar de verificacao basica correr bem,Acesso,Media
4,limite de conexoes ip devido ao aumento no numero de usuarios o limite de ip esta atingir seu valor maximo regularmente alguns clientes estao tentar adicionar mais contas para trabalhar em paralelo,Infraestrutura,Baixa
5,suporte de rede o usuario relatar que ter problemas intermitentes na conexao a rede corporativa o problema afetar o acesso aos servicos on line e atrasa as tarefas da equipe,Acesso,Baixa
6,por favor ajude eu querer saber como poder mudar o tema do meu computador,Comunicação,Baixa
7,conexao wi fi instavel funcionario relatar que o servico de internet banda larga apresentar uma congestao intermitente afetar a capacidade de trabalhar efetivamente,Acesso,Media
8,problemas no login da biblioteca uma das pessoas do setor de informatica na biblioteca central esta experimentar problemas ao tentar acessar o sistema para gerenciamento dos registros o problema comecar ha algumas horas e apesar de terem seguir os passos padrao de recuperacao da senha ver email eles ainda nao conseguir lograr isso,Acesso,Baixa
9,requerir suporte para configuracao vpn funcionario precisar de ajuda para configurar o software pvn devido a duvidas sobre os passos e parametros necessarios,Acesso,Baixa
10,dificuldade de conexao a internet o usuario relatar problemas intermitentes ao se conectar via wi fi o atendente ja verificar o status do roteador e acessibilidade das configuracoes mas ainda nao conseguir identificar o problema,Acesso,Baixa
11,dispositivo movel nao carregar meu smartphone esta totalmente esgotar e apesar de conecta lo a uma fonte usb ou colocar lo na porta inteligente nada acontecer a bateria parecer estar desgastada,Hardware,Baixa
12,acesso limitar a rede interna um grupo de funcionarios reportar ter dificuldade na conexao com a internet do escritorio o que esta afetar suas atividades diarias,Infraestrutura,Baixa
13,som barulhento do computador recentemente o som emitir pelo meu laptop parecer estar mais alto e distorcer nao foi ajustar manualmente por nenhum usuario,Hardware,Baixa
14,energia instavel o sistema de iluminacao led da sala principal esta fracionar intermitentemente e ocorrer desligamento repentino,Infraestrutura,Baixa
15,sincronizacao horario errar aparentar se que as configuracoes de sincronizacao do relogio no computador nao estao alinhada com o fuso horario atual,Comunicação,Baixa
16,lentidao na conexao wi fi desde o ultimo upgrade da nossa rede os tempos de resposta ao acesso a internet estao aumentar a velocidade e suficiente para pequenas atividades como navegar pela web ou baixar fotos,Rede,Baixa
17,roteamento de dns acesso a internet falhar apos atualizar o roteador parecer haver problemas no mecanismo de dns,Rede,Media
18,lente do zoom acoplar incorretamente tenho usar meu computador ha alguns meses e hoje percebi que a lente de mao para o mouse esta com as pontas virar na direcao errar isso e inconveniente porque preciso usar o zoom regularmente ao editar fotos,Hardware,Baixa
19,email sem indice da mensagem eu receber e mails mas o indice de mensagens nao aparecer quando clico em deixar no spam,Comunicação,Baixa
20,banco de dados lento desenvolvemos uma consulta critica que nao responde dentro do prazo esperar causar atrasos nas operacoes comerciais ajude a otimizar o desempenho,Banco de Dados,Alta
21,sistema de sms nao funcionar o sistema responsavel pela operacao dos sms esta apresentar falhas causar atrasos na comunicacao entre os clientes e o nosso servico,Rede,Alta
22,e mail nao enviar anexos quando tentar enviar um arquivo pdf pelo outlook da erro de tamanho exceder,Comunicação,Media
23,motorola g7 nao responde meu motorola g7 esta funcionando mas recentemente parar de reconhecer comandos testei o recurso verificar problemas no menu do software da montagem e ele indicar que a bateria e boa,Hardware,Media
24,problemas na conexao wi fi estou ter dificuldades para se conectar a minha rede sem fio acesso ao internet esta intermitente e a velocidade e muito lenta,Comunicação,Baixa
