id,text_final,target_category
1,performance de rede lenta experimentei uma desaceleracao na velocidade da internet ao redor da horas do almoco a conexao e suficiente para navegar ma nao o bastante para streaming,Rede
2,acesso ao banco de dado bloqueado funcionario relatum problemas na tentativa de conectar se aos bancos de dado do sistema nao consegue acessa los com o credenciais atuais,Acesso
3,problemas de conexao o usuario relatum que nao consegue estabelecer uma conexao segura ao tentar se autenticar no sistema apesar de verificacao basica correr bem,Acesso
4,limite de conexoes ip devido ao aumento no numero de usuarios o limite de ip esta atingindo seu valor maximo regularmente alguns clientes estao tentando adicionar mais contas para trabalhar em paralelo,Infraestrutura
5,suporte de rede o usuario relatum que tem problemas intermitentes na conexao a rede corporativa o problema afeta o acesso aos servicos on line e atrasa a tarefas da equipe,Acesso
6,por favor ajude eu quero saber como posso mudar o tema do meu computador,Comunicação
7,conexao wi fi instavel funcionario relatum que o servico de internet banda larga apresentou uma congestao intermitente afetando a capacidade de trabalhar efetivamente,Acesso
8,problemas no login da biblioteca uma da pessoas do setor de informatica na biblioteca central esta experimentando problemas ao tentar acessar o sistema para gerenciamento do registros o problema comecou ha algumas horas e apesar de terem seguido o passos padrao de recuperacao da senha via email eles ainda nao conseguiram lograr isso,Acesso
9,requerido suporte para configuracao vpn funcionario precisa de ajuda para configurar o software pvn devido a duvidas sobre o passos e parametros necessarios,Acesso
10,dificuldade de conexao a internet o usuario relatum problemas intermitentes ao se conectar via wi fi o atendente ja verifica o status do roteador e acessibilidade da configuracoes ma ainda nao consegue identificar o problema,Acesso
11,dispositivo movel nao carrega meu smartphone esta totalmente esgotado e apesar de conecta lo a uma fonte usb ou coloca lo na porta inteligente nada acontece a bateria parece estar desgastada,Hardware
12,acesso limitado a rede interna um grupo de funcionarios reportou ter dificuldade na conexao com a internet do escritorio o que esta afetando suas atividades diarias,Infraestrutura
13,som barulhento do computador recentemente o som emitido pelo meu laptop parece estar mais alto e distorcido nao foi ajustado manualmente por nenhum usuario,Hardware
14,energia instavel o sistema de iluminacao led da sala principal esta fracionando intermitentemente e ocorre desligamento repentino,Infraestrutura
15,sincronizacao horario errada aparenta se que a configuracoes de sincronizacao do relogio no computador nao estao alinhadas com o fuso horario atual,Comunicação
16,lentidao na conexao wi fi desde o ultimo upgrade da nossa rede o tempo de resposta ao acesso a internet estao aumentando a velocidade e suficiente para pequenas atividades como navegar pela web ou baixar fotos,Rede
17,roteamento de dns acesso a internet falhou apos atualizar o roteador parece haver problemas no mecanismo de dns,Rede
18,lente do zoom acoplado incorretamente tenho usado meu computador ha alguns meses e hoje percebi que a lente de mao para o mouse esta com a pontas viradas na direcao errada isso e inconveniente porque preciso usar o zoom regularmente ao editar fotos,Hardware
19,email sem indice da mensagem eu recebo e mail ma o indice de mensagens nao aparece quando clico em deixar no spam,Comunicação
